Area_Name,Year,Group_Name,Sub_Group_Name,PH_Houses_Provided_by_Department,PH_Houses_provided_on_LeaseRentGPRA,PH_Sanctioned_Strength
Goa,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),11,6,60
Gujarat,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),122,33,451
Haryana,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),196,60,376
Himachal Pradesh,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),51,17,186
Jammu & Kashmir,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),148,0,1008
Jharkhand,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),275,19,459
Karnataka,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),154,26,717
Kerala,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),90,36,425
Lakshadweep,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),2,NULL,2
Madhya Pradesh,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),0,0,914
Maharashtra,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,NULL,786
Manipur,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),53,5,325
Meghalaya,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),40,88,129
Mizoram,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),59,NULL,179
Nagaland,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),70,122,133
Odisha,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),186,0,817
Puducherry,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),14,NULL,24
Punjab,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1,NULL,665
Rajasthan,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,NULL,667
Sikkim,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),8,9,111
Tamil Nadu,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),351,0,1063
Tripura,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),79,NULL,366
Uttar Pradesh,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1019,436,1455
Uttarakhand,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),63,NULL,182
West Bengal,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),398,24,738
Andaman & Nicobar Islands,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),17,11,31
Andhra Pradesh,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),34,888,922
Arunachal Pradesh,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),84,23,107
Assam,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),21,NULL,538
Bihar,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),135,524,659
Chandigarh,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),10,0,31
Chhattisgarh,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),16,0,551
Dadra & Nagar Haveli,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1,1,3
Daman & Diu,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,NULL,5
Delhi,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),270,NULL,504
Goa,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),4,6,60
Gujarat,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),125,17,476
Haryana,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),204,68,359
Himachal Pradesh,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),60,15,199
Jammu & Kashmir,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),156,33,819
Jharkhand,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),275,19,440
Karnataka,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),163,26,659
Kerala,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),111,36,446
Lakshadweep,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),2,NULL,2
Madhya Pradesh,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),362,151,914
Maharashtra,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),0,NULL,1156
Manipur,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),56,6,347
Meghalaya,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),41,88,129
Mizoram,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),59,NULL,178
Nagaland,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),70,125,133
Odisha,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),186,0,830
Puducherry,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),14,NULL,25
Punjab,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),3,NULL,667
Rajasthan,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),52,NULL,770
Sikkim,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),17,NULL,140
Tamil Nadu,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),358,0,1044
Tripura,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),79,NULL,359
Uttar Pradesh,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1039,436,1475
Uttarakhand,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),79,NULL,182
West Bengal,2010,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),524,22,831
Andaman & Nicobar Islands,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),364,NULL,406
Andhra Pradesh,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1969,4122,8493
Arunachal Pradesh,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),373,220,593
Assam,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),0,0,6014
Bihar,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2003,6751,8764
Chandigarh,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),330,0,486
Chhattisgarh,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),148,346,1342
Dadra & Nagar Haveli,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),NULL,15,16
Delhi,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),4068,NULL,10855
Goa,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),134,NULL,354
Gujarat,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),3280,512,11488
Haryana,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),824,2118,3970
Himachal Pradesh,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),455,3,1522
Jammu & Kashmir,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),377,0,5782
Karnataka,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1925,532,5617
Kerala,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1081,3,3909
Lakshadweep,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),41,NULL,53
Madhya Pradesh,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),3448,NULL,14561
Maharashtra,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),0,9932,24981
Manipur,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),92,NULL,1342
Meghalaya,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),864,434,1298
Mizoram,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),340,48,836
Nagaland,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),139,55,606
Odisha,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2130,394,6050
Puducherry,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),73,NULL,303
Punjab,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),732,335,7107
Rajasthan,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1776,NULL,8140
Sikkim,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),72,NULL,355
Tamil Nadu,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2361,NULL,9486
Tripura,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),510,NULL,1728
Uttar Pradesh,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),6570,1325,14615
Uttarakhand,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),264,NULL,774
West Bengal,2001,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2662,294,17036
Andaman & Nicobar Islands,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),396,NULL,432
Andhra Pradesh,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2542,5928,8470
Arunachal Pradesh,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),373,251,624
Assam,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),802,0,6008
Bihar,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1887,7308,12074
Chandigarh,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),345,0,487
Chhattisgarh,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),268,482,1342
Dadra & Nagar Haveli,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),0,15,15
Daman & Diu,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),0,0,24
Delhi,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2545,NULL,10875
Goa,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),111,2,354
Gujarat,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),4471,493,11642
Haryana,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),824,2172,5050
Himachal Pradesh,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),180,0,1523
Jammu & Kashmir,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),377,NULL,5782
Jharkhand,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),737,1158,4382
Karnataka,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2008,587,5819
Kerala,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),627,3,3909
Lakshadweep,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),41,NULL,53
Madhya Pradesh,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1971,1365,8417
Maharashtra,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),0,10258,24987
Manipur,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),92,NULL,1342
Meghalaya,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),874,446,1320
Mizoram,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),543,NULL,600
Nagaland,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),158,25,625
Odisha,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2130,394,6061
Puducherry,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),69,NULL,303
Punjab,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1465,NULL,7107
Rajasthan,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1776,NULL,8150
Sikkim,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),190,NULL,343
Tamil Nadu,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2548,0,9494
Tripura,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),219,NULL,1844
Uttar Pradesh,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),6570,1375,14615
Uttarakhand,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),590,NULL,774
West Bengal,2002,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),4712,251,16946
Andaman & Nicobar Islands,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),404,NULL,428
Andhra Pradesh,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2648,NULL,7390
Arunachal Pradesh,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),383,141,624
Assam,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),802,0,6008
Bihar,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2112,688,11986
Chandigarh,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),487,0,487
Chhattisgarh,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),268,524,2587
Dadra & Nagar Haveli,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),NULL,NULL,14
Daman & Diu,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),7,0,24
Delhi,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),6019,NULL,10875
Goa,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),64,4,350
Gujarat,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),4448,504,11647
Haryana,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),936,2204,5060
Himachal Pradesh,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),180,0,1523
Jammu & Kashmir,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),377,0,5782
Jharkhand,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),508,643,2257
Karnataka,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2177,632,5882
Kerala,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),388,0,3988
Lakshadweep,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),40,NULL,52
Madhya Pradesh,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1971,1365,7870
Maharashtra,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),4656,0,24987
Manipur,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),97,0,1476
Meghalaya,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),874,343,1219
Mizoram,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),139,NULL,883
Nagaland,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),56,70,631
Odisha,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2130,394,6086
Puducherry,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),73,NULL,332
Punjab,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1505,NULL,7107
Rajasthan,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1776,NULL,8150
Sikkim,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),190,NULL,343
Tamil Nadu,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),3167,NULL,10018
Tripura,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),230,NULL,1844
Uttar Pradesh,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),6570,1375,14615
Uttarakhand,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),651,NULL,774
West Bengal,2003,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),4484,238,16955
Andaman & Nicobar Islands,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),404,NULL,428
Andhra Pradesh,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2620,5867,8487
Arunachal Pradesh,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),411,213,624
Assam,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),859,0,6008
Bihar,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2112,688,12108
Chandigarh,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),487,0,487
Chhattisgarh,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),448,543,2441
Dadra & Nagar Haveli,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),NULL,18,17
Daman & Diu,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),13,NULL,21
Delhi,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),6392,NULL,10875
Goa,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),142,4,350
Gujarat,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),3959,703,11647
Haryana,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),856,2376,5650
Himachal Pradesh,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),180,0,1523
Jammu & Kashmir,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),NULL,NULL,5782
Jharkhand,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),508,643,2257
Karnataka,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2311,638,5984
Kerala,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),388,NULL,3988
Lakshadweep,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),40,NULL,52
Madhya Pradesh,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2076,1463,8496
Maharashtra,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),4666,NULL,25180
Manipur,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),116,3,1476
Meghalaya,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),874,343,1114
Mizoram,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),139,0,883
Nagaland,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),119,224,622
Odisha,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2504,26,6200
Puducherry,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),73,NULL,337
Punjab,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1505,NULL,7146
Rajasthan,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1836,NULL,8157
Sikkim,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),190,0,460
Tamil Nadu,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),3175,NULL,10045
Tripura,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),237,NULL,2219
Uttar Pradesh,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),6570,1375,14583
Uttarakhand,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),506,0,774
West Bengal,2004,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),4484,237,17928
Andaman & Nicobar Islands,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),426,NULL,428
Andhra Pradesh,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),5390,3153,8543
Arunachal Pradesh,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),411,213,624
Assam,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),64,0,6008
Bihar,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2214,9913,12127
Chandigarh,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),487,0,487
Chhattisgarh,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),532,636,3138
Dadra & Nagar Haveli,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),NULL,18,17
Daman & Diu,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),12,NULL,23
Delhi,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),6604,NULL,11199
Goa,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),247,2,350
Gujarat,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),5734,636,11647
Haryana,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),564,3782,5613
Himachal Pradesh,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),256,0,1578
Jammu & Kashmir,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),377,0,6169
Jharkhand,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),328,255,2257
Karnataka,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2659,536,5989
Kerala,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),451,0,4033
Lakshadweep,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),40,NULL,53
Madhya Pradesh,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2076,1463,8704
Maharashtra,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),4666,NULL,25180
Manipur,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),134,3,1536
Meghalaya,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),843,318,1161
Mizoram,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),126,0,1224
Nagaland,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),226,78,635
Odisha,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),2504,26,6201
Puducherry,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),73,NULL,310
Punjab,2005,PH_Upper Subordinates (A.S.I. to Inspectors),2. Upper SubOrdinates (ASI to Inspectos),1505,NULL,7146
